"","symbol","HR","lower95","upper95","pValue"
"ENSG00000107819","SFXN3","0.874270290975414","0.34632159529315","2.2070484545881","0.773"
"ENSG00000180861","LINC01559","1.01907667835905","0.401795074914961","2.5846938930128","0.968"
"ENSG00000130821","SLC6A8","1.00374228503947","0.39607495845998","2.54370682431834","0.994"
"ENSG00000170634","ACYP2","0.871033851593734","0.344999263065469","2.19913504707469","0.762"
"ENSG00000121310","ECHDC2","1.16785003593032","0.458880605112006","2.97217553156242","0.744"
"ENSG00000087494","PTHLH","1.17041333649414","0.463272375072524","2.95693732661894","0.735"
"ENSG00000137868","STRA6","1.03125845863776","0.398437844704005","2.66915912393311","0.948"
"ENSG00000171766","GATM","0.825044747615806","0.326107425511363","2.08734540313223","0.673"
"ENSG00000116830","TTF2","0.883778684048069","0.350417384636224","2.22895551597298","0.791"
"ENSG00000142748","FCN3","1.4402087082418","0.570372315376635","3.63657398400527","0.435"
"ENSG00000169714","CNBP","0.811771674132493","0.320034839522011","2.05906723126795","0.659"
"ENSG00000285043","AC093512.2","0.755531744066346","0.297196903308087","1.92070714714073","0.536"
"ENSG00000108468","CBX1","1.56593078351643","0.621600979317373","3.94487669800209","0.327"
"ENSG00000185010","F8","1.22880582974606","0.485391037872656","3.11081921461858","0.661"
"ENSG00000182934","SRPRA","0.930842498174067","0.368522915062613","2.35119098702376","0.88"
"ENSG00000213071","LPAL2","1.49081943462111","0.589667078845167","3.7691481623779","0.376"
"ENSG00000131482","G6PC","0.818588423844078","0.32492182164712","2.06230226167843","0.671"
"ENSG00000007968","E2F2","1.52767734802699","0.606361183456916","3.84885797994127","0.375"
"ENSG00000161682","FAM171A2","1.10326083269449","0.437155117134829","2.78433081816664","0.835"
"ENSG00000161381","PLXDC1","0.46462713298163","0.184320761049551","1.17121029380241","0.114"
"ENSG00000077232","DNAJC10","1.91641666513431","0.744794019430068","4.93109871802529","0.16"
"ENSG00000070814","TCOF1","1.089914219111","0.431707580928451","2.75166121119662","0.855"
"ENSG00000165891","E2F7","0.938247465894014","0.372265970178168","2.36472946166747","0.889"
"ENSG00000182795","C1orf116","0.386521832820268","0.152259885421412","0.98121134685768","0.0466"
"ENSG00000050344","NFE2L3","1.59118763664243","0.627388043636124","4.03558550515218","0.305"
"ENSG00000159714","ZDHHC1","0.905374946178346","0.355090123334752","2.30843872949597","0.832"
"ENSG00000074211","PPP2R2C","1.57216025772616","0.609431454154948","4.05572744747952","0.309"
"ENSG00000130813","SHFL","0.903985407991322","0.358221723369659","2.28123970309293","0.831"
"ENSG00000106538","RARRES2","0.971240335916773","0.383864527850612","2.4573976537859","0.951"
"ENSG00000197006","METTL9","0.868529174529751","0.343975262199918","2.19301505051519","0.757"
"ENSG00000165688","PMPCA","1.54034191599362","0.608368716731398","3.90002502251355","0.357"
"ENSG00000198744","MTCO3P12","1.04607027154905","0.413721910605434","2.64492400563793","0.921"
"ENSG00000151012","SLC7A11","1.19420306662758","0.473929051279211","3.00914442888315","0.699"
"ENSG00000090924","PLEKHG2","0.643832246326808","0.254181826857755","1.63080093700875","0.345"
"ENSG00000131724","IL13RA1","1.03801526940641","0.40882380249947","2.63555031026416","0.937"
"ENSG00000105852","PON3","1.49161167410193","0.591914823547364","3.75882694233475","0.387"
"ENSG00000137274","BPHL","0.453033038692359","0.177445140047176","1.15663316612823","0.0753"
"ENSG00000124098","FAM210B","1.53630112628351","0.596943487065485","3.95384354090634","0.346"
"ENSG00000139547","RDH16","1.19149278166985","0.472841837869636","3.00238882237566","0.703"
"ENSG00000154127","UBASH3B","0.657759675813623","0.259945965278955","1.66437586620033","0.37"
"ENSG00000273045","C2orf15","1.00101430134151","0.395095994753768","2.5361675258559","0.998"
"ENSG00000175906","ARL4D","1.27060797564146","0.501038318756951","3.2221979184527","0.609"
"ENSG00000164096","C4orf3","1.52724827896914","0.593774094062644","3.92824026668989","0.351"
"ENSG00000019991","HGF","1.63641503483754","0.631546286964741","4.24015503141078","0.286"
"ENSG00000068489","PRR11","1.13299796981426","0.444211437397198","2.88980492516093","0.789"
"ENSG00000163898","LIPH","0.70996858027987","0.281434843816772","1.79101982593449","0.459"
"ENSG00000169715","MT1E","1.16834104606876","0.462481772911781","2.95151264304945","0.729"
"ENSG00000234616","JRK","0.919934847791322","0.364349067645291","2.32271796288698","0.856"
"ENSG00000157765","SLC34A2","1.29080229080809","0.508541949730386","3.27636796696668","0.576"
"ENSG00000170456","DENND5B","1.43313478932822","0.567660723438236","3.61813886284546","0.432"
"ENSG00000133619","KRBA1","1.53618542063286","0.606805806008587","3.88899648486812","0.348"
"ENSG00000123219","CENPK","1.39537939445909","0.552998206099441","3.52095835575079","0.476"
"ENSG00000100994","PYGB","1.55396547187076","0.603108300407796","4.00393873891922","0.331"
"ENSG00000080293","SCTR","0.535896721487048","0.20880541405962","1.37537284363023","0.155"
"ENSG00000261488","TBILA","1.25173797175765","0.496881782768258","3.15336163304405","0.634"
"ENSG00000172379","ARNT2","0.699878516716898","0.277246074798471","1.76676960536917","0.431"
"ENSG00000117791","MTARC2","1.22860186318775","0.484293981834309","3.11683108782641","0.659"
"ENSG00000100934","SEC23A","0.971377875091667","0.383916447316583","2.45776127283111","0.951"
"ENSG00000187866","FAM122A","1.02759437126049","0.397180734323451","2.65861382638544","0.954"
"ENSG00000131187","F12","0.884725384702293","0.350586825243377","2.23265379636911","0.786"
"ENSG00000161888","SPC24","1.16089651872569","0.455959063761208","2.9557055321423","0.75"
"ENSG00000171560","FGA","1.31000639759343","0.519879728190671","3.30098803372904","0.552"
"ENSG00000147180","ZNF711","1.08842811963011","0.427342142000915","2.77219505208311","0.854"
"ENSG00000171813","PWWP2B","0.829484108999794","0.327939320263934","2.0980829213448","0.682"
